Date,Price,Open,High,Low,Vol.,Change %
2016-10-19,688.89,683.83,689.88,683.25,149350000,1.01
2016-10-18,682.02,680.44,682.99,678.13,132560000,0.16
2016-10-17,680.95,687.18,687.94,680.95,113710000,-0.88
2016-10-14,687.0,685.06,690.62,684.78,164680000,0.26
2016-10-13,685.23,680.73,685.23,678.79,125240000,0.41
2016-10-12,682.45,683.88,686.18,681.12,120750000,0.01
2016-10-11,682.36,677.63,682.36,669.2,148020000,1.21
2016-10-10,674.19,684.05,684.46,674.19,139490000,-1.43
2016-10-07,683.95,689.51,690.19,680.26,140060000,-0.49
2016-10-06,687.32,687.04,690.93,687.04,150660000,0.04
2016-10-05,687.04,686.41,689.5,685.48,116970000,0.42
2016-10-04,684.2,682.82,689.17,680.24,123100000,0.17
2016-10-03,683.05,687.68,688.42,681.99,121370000,-0.39
2016-09-30,685.73,688.55,689.12,684.62,115740000,-0.41
2016-09-29,688.55,689.82,692.17,685.91,115920000,0.27
2016-09-28,686.72,684.99,687.94,682.98,128180000,0.27
2016-09-27,684.89,676.61,684.89,676.24,130570000,1.16
2016-09-26,677.04,673.21,677.04,671.51,162240000,0.44
2016-09-23,674.09,670.73,674.09,670.3,176040000,0.4
2016-09-22,671.38,668.48,675.36,668.48,144400000,0.43
2016-09-21,668.48,663.12,668.83,662.79,158850000,0.77
2016-09-20,663.37,656.2,663.37,653.28,118440000,0.83
2016-09-19,657.89,651.31,658.35,651.31,107310000,1.01
2016-09-16,651.31,654.68,657.53,651.31,206940000,-0.74
2016-09-15,656.18,657.46,660.32,654.84,112720000,-0.07
2016-09-14,656.64,658.16,661.82,656.64,96410000,-0.47
2016-09-13,659.72,658.61,661.74,654.95,87740000,-0.01
2016-09-12,659.76,665.77,666.04,655.55,101340000,-1.07
2016-09-09,666.88,669.24,672.39,666.88,106070000,0.12
2016-09-08,666.07,661.89,668.2,660.54,124560000,0.72
2016-09-07,661.28,663.05,663.68,656.22,106480000,-0.39
2016-09-06,663.9,666.38,668.4,663.9,108990000,-0.1
2016-09-05,664.55,669.3,670.08,660.31,110450000,-0.69
2016-09-01,669.19,674.19,674.72,664.77,102240000,-0.81
2016-08-31,674.63,673.1,676.26,671.39,115730000,0.29
2016-08-30,672.67,667.96,672.67,666.33,96550000,0.48
2016-08-29,669.44,670.71,679.62,669.44,114890000,0.25
2016-08-26,667.75,662.9,668.84,662.9,116440000,1.4
2016-08-25,658.5,660.77,660.77,656.49,116130000,-0.34
2016-08-24,660.77,660.95,665.43,659.7,103850000,0.24
2016-08-23,659.16,653.58,659.16,652.88,109080000,0.23
2016-08-22,657.68,662.87,664.95,657.68,116310000,-0.69
2016-08-19,662.28,664.09,666.93,659.64,109700000,0.25
2016-08-18,660.65,663.56,665.94,656.35,131630000,0.02
2016-08-17,660.51,659.46,660.76,657.06,123970000,0.36
2016-08-16,658.11,659.47,662.13,656.83,160320000,-0.21
2016-08-15,659.47,654.06,659.47,653.64,117960000,0.57
2016-08-12,655.71,665.14,668.52,652.67,125030000,-0.69
2016-08-11,660.24,649.27,660.24,648.31,140930000,1.84
2016-08-10,648.33,637.21,648.48,637.21,120830000,1.72
2016-08-09,637.34,629.66,637.34,629.66,98870000,1.25
2016-08-08,629.46,627.39,629.91,622.14,90030000,0.33
2016-08-05,627.39,629.69,630.18,622.49,125580000,-0.72
2016-08-04,631.94,633.74,641.02,631.94,112050000,0.05
2016-08-03,631.61,632.98,634.75,627.66,94950000,-0.7
2016-08-02,636.05,643.2,643.2,633.33,176390000,-1.9
2016-08-01,648.38,655.38,655.38,646.02,92790000,-0.59
2016-07-29,652.23,654.19,657.88,650.98,120010000,-0.75
2016-07-28,657.14,655.81,657.2,649.86,123000000,0.16
2016-07-27,656.11,647.98,656.11,647.74,127210000,1.16
2016-07-26,648.59,648.58,651.93,642.91,106200000,-0.11
2016-07-25,649.3,651.33,654.17,646.04,97520000,-0.09
2016-07-22,649.87,657.15,658.06,640.26,151760000,-1.47
2016-07-21,659.57,662.72,665.9,656.03,112380000,-0.1
2016-07-20,660.26,667.86,667.86,660.26,129410000,-1.12
2016-07-19,667.76,675.89,677.35,660.09,139590000,-0.85
2016-07-18,673.5,664.12,673.5,662.25,131480000,1.35
2016-07-15,664.56,666.69,670.18,661.47,131140000,-0.32
2016-07-14,666.69,675.66,681.75,666.69,160110000,-1.25
2016-07-13,675.12,662.04,676.06,662.04,159940000,2.46
2016-07-12,658.9,652.81,658.9,649.86,175610000,1.02
2016-07-11,652.26,658.92,664.89,648.77,162220000,-0.97
2016-07-08,658.68,661.07,665.53,655.91,144000000,-0.37
2016-07-07,661.12,652.49,661.12,652.13,137260000,1.8
2016-07-06,649.46,646.8,652.36,644.07,136950000,-0.22
2016-07-05,650.88,650.47,658.45,647.52,149330000,0.45
2016-07-04,647.96,643.11,647.96,641.96,137070000,1.2
2016-07-01,640.3,632.26,643.55,632.26,126000000,1.27
2016-06-30,632.26,633.17,637.46,631.74,106170000,0.34
2016-06-29,630.12,623.56,631.25,623.56,122310000,1.27
2016-06-28,622.2,617.68,624.85,617.65,89280000,0.15
2016-06-27,621.27,616.19,621.27,608.26,107960000,0.08
2016-06-24,620.77,631.77,631.77,597.68,270170000,-1.82
2016-06-23,632.27,626.47,632.6,626.47,117110000,0.94
2016-06-22,626.41,628.77,629.95,625.81,107960000,-0.25
2016-06-21,628.0,629.03,631.96,628.0,127750000,0.25
2016-06-20,626.46,622.04,626.46,620.41,115100000,1.16
2016-06-17,619.25,622.92,624.59,618.16,148650000,-0.94
2016-06-16,625.11,627.38,630.21,625.11,122410000,-0.3
2016-06-15,627.02,624.63,628.75,621.76,130310000,0.25
2016-06-14,625.43,621.63,626.4,619.13,99800000,0.3
2016-06-13,623.58,626.26,627.36,621.4,127060000,-0.99
2016-06-10,629.84,629.95,633.47,628.56,134280000,-0.22
2016-06-09,631.26,628.4,631.26,626.27,119510000,0.54
2016-06-08,627.87,626.84,632.68,626.29,139310000,0.52
2016-06-07,624.65,622.4,624.69,620.05,115270000,0.74
2016-06-06,620.05,621.09,624.55,616.98,133230000,-0.29
2016-06-03,621.88,623.21,625.19,621.62,124290000,-0.24
2016-06-02,623.37,619.19,624.52,618.38,126640000,0.57
2016-06-01,619.86,618.18,620.24,616.33,113210000,0.23
2016-05-31,618.44,616.22,621.14,614.68,121510000,0.64
2016-05-30,614.5,609.98,615.52,608.46,111120000,1.05
2016-05-27,608.11,604.36,609.94,603.23,102560000,0.62
2016-05-26,604.34,611.88,613.37,604.34,116590000,-1.23
2016-05-25,611.89,613.96,616.38,611.89,139390000,0.04
2016-05-24,611.62,612.23,613.14,608.15,115550000,0.1
2016-05-23,611.03,616.11,616.83,610.45,99920000,-0.61
2016-05-20,614.81,620.72,622.48,614.41,138840000,-0.71
2016-05-19,619.2,621.83,623.68,618.13,141470000,-0.52
2016-05-18,622.45,625.53,627.81,621.79,135290000,-0.37
2016-05-17,624.75,620.54,626.12,618.67,126850000,1.46
